usage_id,customer_id,year_month,data_gb,call_min,billing_amount,service_count,app_login_count
U06181,C181,2025-01,12.65,265,50780,4,14
U06182,C182,2025-01,12.81,189,52873,3,6
U06183,C183,2025-01,21.2,135,49272,5,5
U06184,C184,2025-01,20.48,228,50297,2,14
U06185,C185,2025-01,0.19,75,25112,0,7
U06186,C186,2025-01,67.87,288,87487,4,24
U06187,C187,2025-01,11.48,253,45962,1,23
U06188,C188,2025-01,3.81,52,30431,3,2
U06189,C189,2025-01,44.02,160,89048,8,19
U06190,C190,2025-01,15.27,184,56729,2,4
U06191,C191,2025-01,9.1,341,52051,3,6
U06192,C192,2025-01,83.76,273,85458,3,12
U06193,C193,2025-01,4.84,134,34321,1,8
U06194,C194,2025-01,8.91,63,51201,3,10
U06195,C195,2025-01,5.2,74,42259,1,7
U06196,C196,2025-01,11.12,258,50959,4,13
U06197,C197,2025-01,22.36,169,84835,3,12
U06198,C198,2025-01,12.53,165,51505,3,8
U06199,C199,2025-01,45.27,264,96121,4,8
U06200,C200,2025-01,0.59,105,25676,0,5
U06201,C201,2025-01,3.96,116,36476,0,13
U06202,C202,2025-01,9.78,144,27433,2,0
U06203,C203,2025-01,4.81,233,21376,0,9
U06204,C204,2025-01,17.05,81,52531,4,7
U06205,C205,2025-01,38.74,399,73332,4,15
U06206,C206,2025-01,79.89,288,87475,3,12
U06207,C207,2025-01,0.1,111,47062,0,0
U06208,C208,2025-01,53.93,268,87360,3,15
U06209,C209,2025-01,18.32,140,52046,1,7
U06210,C210,2025-01,6.38,151,26428,1,8
U06211,C211,2025-01,75.32,398,79495,4,23
U06212,C212,2025-01,5.58,149,36856,1,5
U06213,C213,2025-01,14.95,299,44921,2,9
U06214,C214,2025-01,8.59,156,33275,3,12
U06215,C215,2025-01,14.78,155,43198,1,7
U06216,C216,2025-01,74.17,214,83558,5,15
U06217,C217,2025-01,14.09,177,46509,2,11
U06218,C218,2025-01,20.58,26,47241,1,5
U06219,C219,2025-01,9.74,255,47895,1,20
U06220,C220,2025-01,11.4,101,61205,0,4
U06221,C221,2025-01,5.2,201,29281,1,2
U06222,C222,2025-01,1.09,81,54744,1,0
U06223,C223,2025-01,18.29,218,45734,3,8
U06224,C224,2025-01,0.82,0,48166,0,0
U06225,C225,2025-01,3.82,97,47678,2,2
U06226,C226,2025-01,11.47,196,48656,2,3
U06227,C227,2025-01,20.12,340,51205,1,10
U06228,C228,2025-01,5.05,0,32882,1,0
U06229,C229,2025-01,0.1,18,46495,1,0
U06230,C230,2025-01,0.1,71,29674,1,1
U06231,C231,2025-01,6.24,155,26758,2,10
U06232,C232,2025-01,0.1,120,43823,3,0
U06233,C233,2025-01,10.18,146,47914,2,5
U06234,C234,2025-01,50.94,348,94007,5,10
U06235,C235,2025-01,8.37,73,31018,0,1
U06236,C236,2025-01,15.89,228,51642,2,7
U06237,C237,2025-01,41.9,357,89815,4,21
U06238,C238,2025-01,3.19,60,26128,1,2
U06239,C239,2025-01,4.01,146,30376,1,7
U06240,C240,2025-01,15.54,121,52693,2,10
U06241,C241,2025-01,40.7,207,95280,3,15
U06242,C242,2025-01,63.61,200,83676,6,22
U06243,C243,2025-01,56.08,320,78043,2,5
U06244,C244,2025-01,15.64,177,42081,1,17
U06245,C245,2025-01,15.56,311,52054,1,5
U06246,C246,2025-01,14.32,202,49031,3,8
U06247,C247,2025-01,15.1,150,49442,4,6
U06248,C248,2025-01,4.8,127,33854,0,7
U06249,C249,2025-01,14.53,197,48777,2,13
U06250,C250,2025-01,7.62,174,38808,2,4
U06251,C251,2025-01,6.11,79,83090,8,0
U06252,C252,2025-01,40.69,238,88248,4,16
U06253,C253,2025-01,37.9,245,87082,4,14
U06254,C254,2025-01,2.93,99,26450,1,5
U06255,C255,2025-01,16.26,145,49089,1,7
U06256,C256,2025-01,12.69,174,50161,1,9
U06257,C257,2025-01,8.98,96,37898,0,8
U06258,C258,2025-01,54.02,201,88708,1,8
U06259,C259,2025-01,20.76,241,98664,3,10
U06260,C260,2025-01,10.43,240,54283,2,8
U06261,C261,2025-01,32.6,282,74405,2,14
U06262,C262,2025-01,33.36,302,81405,3,19
U06263,C263,2025-01,13.47,266,47747,3,7
U06264,C264,2025-01,20.8,249,52980,2,10
U06265,C265,2025-01,50.59,254,85452,4,11
U06266,C266,2025-01,17.72,203,47745,2,7
U06267,C267,2025-01,8.31,55,28131,0,9
U06268,C268,2025-01,62.23,239,78461,7,18
U06269,C269,2025-01,3.6,93,34279,1,10
U06270,C270,2025-01,30.08,250,90321,4,11
U06271,C271,2025-01,16.27,272,45766,0,14
U06272,C272,2025-01,0.99,6,32989,0,0
U06273,C273,2025-01,4.24,162,37853,1,5
U06274,C274,2025-01,8.74,175,55121,4,5
U06275,C275,2025-01,16.38,142,53271,1,8
U06276,C276,2025-01,4.3,0,98388,5,1
U06277,C277,2025-01,21.49,166,59923,1,13
U06278,C278,2025-01,1.41,21,52766,5,2
U06279,C279,2025-01,50.88,211,93911,5,12
U06280,C280,2025-01,0.1,24,25148,1,0
U06281,C281,2025-01,57.31,174,83014,1,15
U06282,C282,2025-01,6.57,128,28347,0,12
U06283,C283,2025-01,49.74,250,82660,3,17
U06284,C284,2025-01,11.87,245,43627,3,18
U06285,C285,2025-01,43.27,442,82084,0,14
U06286,C286,2025-01,12.63,128,48047,1,10
U06287,C287,2025-01,36.66,294,80545,4,17
U06288,C288,2025-01,8.02,132,46785,4,18
U06289,C289,2025-01,5.73,236,25519,1,10
U06290,C290,2025-01,17.98,221,53582,3,15
U06291,C291,2025-01,49.67,264,79644,0,15
U06292,C292,2025-01,58.89,431,97433,2,9
U06293,C293,2025-01,2.28,142,26464,1,7
U06294,C294,2025-01,5.79,71,27555,3,5
U06295,C295,2025-01,0.1,32,49674,2,0
U06296,C296,2025-01,15.64,171,50398,2,17
U06297,C297,2025-01,10.9,229,52642,1,6
U06298,C298,2025-01,38.43,271,91189,6,21
U06299,C299,2025-01,4.88,71,22371,0,5
U06300,C300,2025-01,14.12,186,50645,3,6
U06301,C301,2025-01,3.73,84,34376,0,10
U06302,C302,2025-01,3.96,107,35739,1,15
U06303,C303,2025-01,5.75,165,33739,1,8
U06304,C304,2025-01,45.08,245,90684,3,13
U06305,C305,2025-01,29.33,304,90595,1,16
U06306,C306,2025-01,6.52,77,51638,4,11
U06307,C307,2025-01,7.95,156,47109,3,14
U06308,C308,2025-01,76.57,164,79109,6,12
U06309,C309,2025-01,2.95,33,25693,1,0
U06310,C310,2025-01,12.64,201,48617,1,1
U06311,C311,2025-01,49.51,396,115473,4,16
U06312,C312,2025-01,0.38,0,31257,3,2
U06313,C313,2025-01,19.25,163,44666,1,4
U06314,C314,2025-01,57.76,213,84728,2,12
U06315,C315,2025-01,22.65,323,44887,2,17
U06316,C316,2025-01,2.49,71,27420,1,7
U06317,C317,2025-01,55.8,205,96945,4,27
U06318,C318,2025-01,15.19,297,48493,1,9
U06319,C319,2025-01,54.97,188,91909,4,21
U06320,C320,2025-01,2.14,144,29711,1,2
U06321,C321,2025-01,6.89,197,27786,1,5
U06322,C322,2025-01,18.49,338,47534,3,10
U06323,C323,2025-01,52.45,299,86670,12,16
U06324,C324,2025-01,56.55,346,83990,8,12
U06325,C325,2025-01,5.1,159,27002,0,11
U06326,C326,2025-01,5.31,144,24933,1,7
U06327,C327,2025-01,13.99,84,50032,2,8
U06328,C328,2025-01,29.83,357,86192,5,12
U06329,C329,2025-01,4.56,106,31332,1,4
U06330,C330,2025-01,36.1,378,88845,5,19
U06331,C331,2025-01,14.25,80,54893,4,13
U06332,C332,2025-01,11.79,102,46648,1,7
U06333,C333,2025-01,19.54,337,44984,0,17
U06334,C334,2025-01,47.0,198,91893,9,22
U06335,C335,2025-01,7.96,194,48652,1,13
U06336,C336,2025-01,13.2,232,44055,2,2
U06337,C337,2025-01,69.43,250,88579,6,10
U06338,C338,2025-01,26.33,257,100234,1,19
U06339,C339,2025-01,5.86,374,92855,3,17
U06340,C340,2025-01,17.96,212,57137,2,13
U06341,C341,2025-01,83.21,266,89827,5,8
U06342,C342,2025-01,18.51,247,51513,0,7
U06343,C343,2025-01,9.26,155,29802,1,4
U06344,C344,2025-01,16.17,137,52857,1,14
U06345,C345,2025-01,6.16,179,25943,1,1
U06346,C346,2025-01,0.1,97,58927,1,3
U06347,C347,2025-01,53.36,311,77533,3,19
U06348,C348,2025-01,4.61,201,32663,1,2
U06349,C349,2025-01,57.4,277,90556,2,18
U06350,C350,2025-01,13.71,78,52895,1,14
U06351,C351,2025-01,2.34,109,26042,1,10
U06352,C352,2025-01,2.8,6,29486,0,4
U06353,C353,2025-01,58.85,312,86029,4,14
U06354,C354,2025-01,20.03,295,51623,1,10
U06355,C355,2025-01,18.68,216,53408,1,9
U06356,C356,2025-01,56.54,164,98316,5,11
U06357,C357,2025-01,4.24,119,24304,1,11
U06358,C358,2025-01,4.88,212,32062,2,2
U06359,C359,2025-01,10.2,367,52548,3,9
U06360,C360,2025-01,22.74,171,79048,5,12
U06361,C361,2025-01,0.1,0,90611,4,3
U06362,C362,2025-01,13.67,176,52853,1,5
U06363,C363,2025-01,13.75,172,53411,2,9
U06364,C364,2025-01,16.1,206,51921,1,6
U06365,C365,2025-01,39.67,438,76505,4,12
U06366,C366,2025-01,14.5,117,52748,1,11
U06367,C367,2025-01,56.41,219,86751,5,7
U06368,C368,2025-01,7.64,138,27880,1,6
U06369,C369,2025-01,12.64,121,62429,0,10
U06370,C370,2025-01,34.73,180,98759,4,10
U06371,C371,2025-01,74.65,290,96735,3,14
U06372,C372,2025-01,7.03,198,49178,2,13
U06373,C373,2025-01,14.03,236,46602,2,6
U06374,C374,2025-01,16.92,199,48928,2,13
U06375,C375,2025-01,20.46,208,84634,4,12
U06376,C376,2025-01,61.35,250,85106,3,9
U06377,C377,2025-01,14.36,185,56243,3,11
U06378,C378,2025-01,56.66,284,92441,3,19
U06379,C379,2025-01,8.15,183,49875,2,9
U06380,C380,2025-01,16.55,276,53411,2,10
U06381,C381,2025-01,4.84,76,31392,1,2
U06382,C382,2025-01,56.62,345,84192,0,9
U06383,C383,2025-01,13.83,197,52663,1,12
U06384,C384,2025-01,3.34,65,32746,0,0
U06385,C385,2025-01,50.3,188,90161,3,20
U06386,C386,2025-01,5.85,67,43421,0,2
U06387,C387,2025-01,4.41,181,28646,0,8
U06388,C388,2025-01,55.6,222,88469,6,17
U06389,C389,2025-01,66.83,395,68085,4,13
U06390,C390,2025-01,6.57,291,25484,1,2
U06391,C391,2025-01,18.71,236,47971,4,5
U06392,C392,2025-01,15.63,39,53047,4,6
U06393,C393,2025-01,3.41,169,25698,1,7
U06394,C394,2025-01,37.53,261,82578,2,8
U06395,C395,2025-01,15.45,177,45418,1,3
U06396,C396,2025-01,0.1,26,34739,0,4
U06397,C397,2025-01,77.74,342,94742,9,12
U06398,C398,2025-01,6.7,255,50509,2,13
U06399,C399,2025-01,5.43,179,25724,3,3
U06400,C400,2025-01,59.63,328,84892,3,8
U06401,C401,2025-01,3.36,82,24944,0,6
U06402,C402,2025-01,0.1,25,24588,2,3
U06403,C403,2025-01,13.64,309,50136,1,10
U06404,C404,2025-01,5.32,202,23862,2,3
U06405,C405,2025-01,6.71,248,29399,1,8
U06406,C406,2025-01,21.19,168,52322,5,12
U06407,C407,2025-01,11.03,176,55931,2,21
U06408,C408,2025-01,6.37,165,30467,0,6
U06409,C409,2025-01,0.1,31,31104,0,5
U06410,C410,2025-01,4.87,240,40183,1,8
U06411,C411,2025-01,53.27,315,84352,4,14
U06412,C412,2025-01,48.31,342,72165,6,15
U06413,C413,2025-01,5.22,78,23778,1,7
U06414,C414,2025-01,70.59,240,77751,5,14
U06415,C415,2025-01,46.04,307,77360,3,9
U06416,C416,2025-01,11.75,70,46687,3,5
U06417,C417,2025-01,5.13,154,32264,0,8
U06418,C418,2025-01,14.6,41,86724,4,0
U06419,C419,2025-01,23.06,258,40060,2,8
U06420,C420,2025-01,14.76,161,46217,2,8
U06421,C421,2025-01,38.66,91,76043,2,10
U06422,C422,2025-01,2.07,201,30301,2,9
U06423,C423,2025-01,8.49,86,28435,3,8
U06424,C424,2025-01,5.57,175,24693,0,10
U06425,C425,2025-01,36.82,326,76250,2,15
U06426,C426,2025-01,8.56,198,54419,2,5
U06427,C427,2025-01,6.48,146,25472,1,9
U06428,C428,2025-01,11.81,141,46751,1,7
U06429,C429,2025-01,11.4,315,51080,1,6
U06430,C430,2025-01,15.53,132,46591,2,4
U06431,C431,2025-01,41.21,296,86732,2,6
U06432,C432,2025-01,14.68,259,41555,3,11
U06433,C433,2025-01,37.63,222,101818,3,12
U06434,C434,2025-01,11.89,213,41297,2,8
U06435,C435,2025-01,5.6,116,23905,1,10
U06436,C436,2025-01,8.2,125,33818,2,9
U06437,C437,2025-01,12.24,146,56146,0,13
U06438,C438,2025-01,24.28,132,53392,2,9
U06439,C439,2025-01,38.21,270,90126,4,10
U06440,C440,2025-01,52.34,296,89569,3,21
U06441,C441,2025-01,15.58,89,39667,3,10
U06442,C442,2025-01,57.36,230,85079,5,10
U06443,C443,2025-01,7.33,91,29787,1,7
U06444,C444,2025-01,13.46,133,55986,3,6
U06445,C445,2025-01,2.94,116,30903,0,3
U06446,C446,2025-01,29.44,308,86922,5,14
U06447,C447,2025-01,56.68,287,80572,1,18
U06448,C448,2025-01,31.38,129,90084,1,13
U06449,C449,2025-01,0.79,0,30729,1,3
U06450,C450,2025-01,14.32,303,47916,2,5
U06451,C451,2025-01,48.78,351,85021,3,19
U06452,C452,2025-01,18.63,197,56112,5,17
U06453,C453,2025-01,4.46,254,28408,0,9
U06454,C454,2025-01,21.44,204,58415,4,3
U06455,C455,2025-01,8.2,150,33410,0,7
U06456,C456,2025-01,0.1,107,28764,2,4
U06457,C457,2025-01,49.38,218,96744,2,12
U06458,C458,2025-01,27.25,51,49557,2,4
U06459,C459,2025-01,12.34,144,50691,4,8
U06460,C460,2025-01,14.76,259,51103,1,5
U06461,C461,2025-01,5.19,148,28797,1,0
U06462,C462,2025-01,39.67,292,79494,3,24
U06463,C463,2025-01,4.62,75,33317,0,6
U06464,C464,2025-01,21.46,265,53764,2,10
U06465,C465,2025-01,16.67,229,53056,2,8
U06466,C466,2025-01,6.35,110,32552,1,5
U06467,C467,2025-01,15.58,282,41251,1,7
U06468,C468,2025-01,7.55,238,36156,2,7
U06469,C469,2025-01,12.82,162,51571,2,1
U06470,C470,2025-01,14.92,259,51343,2,10
U06471,C471,2025-01,73.97,372,90720,7,13
U06472,C472,2025-01,5.68,86,26840,0,4
U06473,C473,2025-01,64.79,234,75253,4,11
U06474,C474,2025-01,62.81,178,89021,1,10
U06475,C475,2025-01,17.45,255,54343,2,18
U06476,C476,2025-01,4.09,107,31073,1,8
U06477,C477,2025-01,65.28,204,90627,3,10
U06478,C478,2025-01,60.21,315,80972,0,15
U06479,C479,2025-01,4.91,291,27806,2,8
U06480,C480,2025-01,56.07,269,85629,1,12
U06481,C481,2025-01,3.29,128,30207,0,11
U06482,C482,2025-01,7.39,98,23890,0,3
U06483,C483,2025-01,51.69,215,97466,8,16
U06484,C484,2025-01,0.1,54,27618,1,4
U06485,C485,2025-01,50.8,208,86960,3,13
U06486,C486,2025-01,8.95,73,47355,3,2
U06487,C487,2025-01,0.12,0,37153,0,3
U06488,C488,2025-01,23.42,179,53114,4,13
U06489,C489,2025-01,67.27,288,87024,0,8
U06490,C490,2025-01,8.61,114,47766,1,10
U06491,C491,2025-01,4.88,118,33038,2,6
U06492,C492,2025-01,58.01,307,87043,7,8
U06493,C493,2025-01,1.93,0,27738,1,2
U06494,C494,2025-01,29.71,0,92630,6,0
U06495,C495,2025-01,23.85,277,93859,6,18
U06496,C496,2025-01,11.38,200,42582,4,5
U06497,C497,2025-01,18.56,159,56045,0,7
U06498,C498,2025-01,17.82,189,47445,1,4
U06499,C499,2025-01,23.97,220,50583,3,9
U06500,C500,2025-01,5.45,132,27176,3,9
